Category,ModelID,kawaii_mean,image_path
Cool-Clever,kelly,3.0,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/kelly.jpg
Cool-Clever,leandre,2.4791666666666665,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/leandre.jpg
Cool-Clever,leandro,2.6875,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/leandro.jpg
Cool-Clever,leslie,2.3541666666666665,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/leslie.jpg
Cool-Clever,lorenzo,2.6666666666666665,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/lorenzo.jpg
Cool-Clever,margot,3.019607843137255,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/margot.jpg
Cool-Clever,matheusz,2.9375,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/matheusz.jpg
Cool-Clever,pradathi,2.8333333333333335,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/pradathi.jpg
Cool-Clever,renan,2.7555555555555555,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/renan.jpg
Cool-Clever,rose,2.5098039215686274,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/rose.jpg
Cool-Clever,sanne,2.911111111111111,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/sanne.jpg
Cool-Clever,victor,2.7058823529411766,/home/moogs/GitHub/kawaii-polling/static/Cool-Clever/victor.jpg
Dependant-Needy,kelly,3.9411764705882355,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/kelly.jpg
Dependant-Needy,leandre,2.8444444444444446,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/leandre.jpg
Dependant-Needy,leandro,2.2666666666666666,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/leandro.jpg
Dependant-Needy,leslie,2.5416666666666665,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/leslie.jpg
Dependant-Needy,lorenzo,3.125,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/lorenzo.jpg
Dependant-Needy,margot,3.685185185185185,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/margot.jpg
Dependant-Needy,matheusz,2.843137254901961,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/matheusz.jpg
Dependant-Needy,pradathi,3.5833333333333335,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/pradathi.jpg
Dependant-Needy,renan,3.311111111111111,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/renan.jpg
Dependant-Needy,rose,3.911111111111111,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/rose.jpg
Dependant-Needy,sanne,3.4901960784313726,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/sanne.jpg
Dependant-Needy,victor,2.3541666666666665,/home/moogs/GitHub/kawaii-polling/static/Dependant-Needy/victor.jpg
Escapist-Dreamy,kelly,3.803921568627451,/home/moogs/GitHub/kawaii-polling/static/Escapist-Dreamy/kelly.jpg
Escapist-Dreamy,leandre,2.4074074074074074,/home/moogs/GitHub/kawaii-polling/static/Escapist-Dreamy/leandre.jpg
Escapist-Dreamy,leandro,2.2745098039215685,/home/moogs/GitHub/kawaii-polling/static/Escapist-Dreamy/leandro.jpg
Escapist-Dreamy,leslie,3.0416666666666665,/home/moogs/GitHub/kawaii-polling/static/Escapist-Dreamy/leslie.jpg
Escapist-Dreamy,lorenzo,2.2222222222222223,/home/moogs/GitHub/kawaii-polling/static/Escapist-Dreamy/lorenzo.jpg
